startup_name,description,funding_amount,industry,location,employees,website,founders,founder_emails,founder_linkedin,source,batch
Vivodyne,"Accelerates drug discovery using lab-grown human tissues, robotics, and AI to generate accurate preclinical test data


Artificial Intelligence Biotech Healthcare

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2022

**Funding:**

Khosla Ventures$40M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/vivodyne)

[Check company site 📌](https://www.vivodyne.com//?utm_source=topstartups.io)

[View Jobs](https://job-bo",$40M,"Biotech, Healthcare, Artificial Intelligence","San Francisco Bay Area, California, USA",50,https://www.vivodyne.com//,,,,topstartups.io,
Abridge,"Build audio-based system to record and summarize medical conversations


Healthcare Artificial Intelligence

**Quick facts:**

📍HQ: Pittsburgh, Pennsylvania, USA


201-500 employeesFounded: 2018

**Funding:**

Bessemer Andreessen Horowitz$316M Series E in 2025$5.3B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/abridge-ai)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Abridge-EI_IE3146134.11,18.htm)

[Check company site 📌](http://abridge.com/?u",$316M,"Healthcare, Artificial Intelligence","Pittsburgh, Pennsylvania, USA",500,http://abridge.com/,,,,topstartups.io,
Glean,"Work assistant that searches across all your company's apps to help you find what you need


Enterprise Software SaaS Artificial Intelligence

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


201-500 employeesFounded: 2019

**Funding:**

Sequoia Kleiner Perkins$150M Series F in 2025$7.2B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/gleanwork/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Glean-CA-EI_IE5795738.11,19.htm)

",$150M,"Artificial Intelligence, Enterprise Software, SaaS","San Francisco Bay Area, California, USA",500,https://www.glean.com/,,,,topstartups.io,
Prepared,"Assistive AI for every 911 call


Artificial Intelligence Public Safety

**Quick facts:**

📍HQ: Remote


11-50 employeesFounded: 2019

**Funding:**

Andreessen Horowitz$80M Series C in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/prepared911)

[Check company site 📌](https://www.prepared911.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/prepared911/?utm_source=topstartups.io)

[![Ataraxis startup company logo](https://images.crunchbase.com",$80M,Artificial Intelligence,Remote,50,https://www.prepared911.com/,,,,topstartups.io,
Ataraxis,"Transforming cancer care care with AI precision medicine


Artificial Intelligence Healthcare

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2022

**Funding:**

Founders Fund$20M Series A in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/ataraxis-ai)

[Check company site 📌](https://www.ataraxis.ai/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/ataraxis-ai?utm_source=topstartups.io)

[![Graphite startup company logo](h",$20M,"Healthcare, Artificial Intelligence","New York, New York, USA",50,https://www.ataraxis.ai/,,,,topstartups.io,
Graphite,"AI code review platform which helps developers create, review and merge changes faster.


Artificial Intelligence SaaS Enterprise Software

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2021

**Funding:**

Andreessen Horowitz Accel$52M Series B in 2025

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/withgraphite)

[Check company site 📌](https://graphite.dev/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/graphite/?utm_source",$52M,"Enterprise Software, Artificial Intelligence, SaaS","New York, New York, USA",50,https://graphite.dev/,,,,topstartups.io,
Replit,"Collaborative, in-browser IDE to code in 50+ languages - no setup time required


SaaSDeveloper ToolsEdTech

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2016

**Funding:**

Y CombinatorAndreessen Horowitz$97M Series B in 2023$1.2B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/repl-it/)

[Check company site 📌](http://repl.it/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/replit/?utm_source=topst",$97M,SaaS,"San Francisco Bay Area, California, USA",50,http://repl.it/,,,,topstartups.io,
Marker Learning,"Make learning disability assessments and diagnosis easier and more affordable


EdTech

**Quick facts:**

📍HQ: Remote


11-50 employeesFounded: 2021

**Funding:**

Andreessen Horowitz$15M Series A in 2023

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/markerlearning/)

[Check company site 📌](https://markerlearning.com/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/embed/job_board?for=MarkerLearning)

[![Buildspace startup company logo](https://p",$15M,,Remote,50,https://markerlearning.com/,,,,topstartups.io,
Buildspace,"Help people ship meaningful products in a weekend


Consumer EdTech Community

**Quick facts:**

📍HQ: New York, New York, USA


1-10 employeesFounded: 2020

**Funding:**

Y Combinator Andreessen Horowitz$10M Seed in 2022

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/buildspaceso/)

[Check company site 📌](https://buildspace.so/?utm_source=topstartups.io)

[View Jobs](https://buildspace.so/join?utm_source=topstartups.io)

[![Golden startup company logo](https://images.",$10M,,"New York, New York, USA",10,https://buildspace.so/,,,,topstartups.io,
Golden,"Developer of a self-constructing knowledge database used to accelerate discovery and education


Artificial IntelligenceEdTech

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2017

**Funding:**

Andreessen Horowitz Founders Fund$40M Series B in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/golden-recursion-inc)

[Check company site 📌](http://golden.com/?utm_source=topstartups.io)

[View Jobs](https://goldenhq.notion.site/Gol",$40M,Artificial Intelligence,"San Francisco Bay Area, California, USA",50,http://golden.com/,,,,topstartups.io,
Cambly,"Cambly lets you practice English 1-on-1 with a native speaker over video chat!


EdTechVideo ChatTutoring

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


1001-5000 employeesFounded: 2012

**Funding:**

Benchmark Y Combinator Bessemer$60M Series C in 2022$250M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/cambly)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Cambly-EI_IE1181065.11,17.htm)

[Check company site 📌](http://cambly.",$60M,,"San Francisco Bay Area, California, USA",5000,http://cambly.com/,,,,topstartups.io,
GO1,"GO1 allows companies to upscale their workforce with on-demand training and a dynamic content-driven platform.


EdTechTrainingEnterprise Software

**Quick facts:**

📍HQ: Brisbane, Australia


501-1000 employeesFounded: 2015

**Funding:**

Y Combinator$100M Series D in 2022$2.0B valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/go1/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Go1-EI_IE1417558.11,14.htm)

[Check company site 📌](http://www.go",$100M,Enterprise Software,"Brisbane, Australia",1000,http://www.go1.com/,,,,topstartups.io,
Guild Education,"Classes, programs and degrees for working adults. Reimagining education as a corporate benefit for employers and their employees.


EdTechTrainingEmployee Benefits

**Quick facts:**

📍HQ: Denver, Colorado, USA


1001-5000 employeesFounded: 2015

**Funding:**

Bessemer$175M Series F in 2022$4.4B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/guild-education)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Guild-Education-EI_IE1315721.11,26.htm)

[",$175M,,"Denver, Colorado, USA",5000,https://www.guildeducation.com/,,,,topstartups.io,
Cuemath,"Making kids great at math.


EdTech

**Quick facts:**

📍HQ: Bengaluru, India


1001-5000 employeesFounded: 2011

**Funding:**

Sequoia$57M Series D in 2022$407M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/cue-learn)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/Cuelearn-cuemath-Reviews-EI_IE1333414.0,8_KH9,16.htm)

[Check company site 📌](http://www.cuemath.com/?utm_source=topstartups.io)

[View Jobs](https://www.instahyre.com/jobs-at-cuemath/?utm_source",$57M,,"Bengaluru, India",5000,http://www.cuemath.com/,,,,topstartups.io,
Primer,"Primer is an online community where 7-14-year-olds spend their time coding video games.


SaaS EdTech

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


11-50 employeesFounded: 2019

**Funding:**

Founders Fund Khosla Ventures$15M Series A in 2022

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/withprimer/)

[Check company site 📌](https://primer.com/?utm_source=topstartups.io)

[View Jobs](https://jobs.ashbyhq.com/Primer?utm_source=topstartups.io)

[![Su",$15M,SaaS,"San Francisco Bay Area, California, USA",50,https://primer.com/,,,,topstartups.io,
Subject,"Accredited learning platform that provides custom curriculum taught by teachers with cinematic quality


EdTech

**Quick facts:**

📍HQ: Los Angeles, California, USA


101-200 employeesFounded: 2020

**Funding:**

Kleiner Perkins Bessemer$30M Series A in 2022

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/trysubject/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Emile-Learning-EI_IE4518368.11,25.htm)

[Check company site 📌](https://subject.com/?utm_s",$30M,,"Los Angeles, California, USA",200,https://subject.com/,,,,topstartups.io,
Byjus,"BYJU’s is an edtech company that is reinventing how students learn through its learning app.


AppsEdTech

**Quick facts:**

📍HQ: Bangalore, India


5000+ employeesFounded: 2011

**Funding:**

Sequoia$800M Series F in 2022$22.0B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/byjus)

[Read reviews ⭐](https://www.glassdoor.com/Reviews/BYJU-S-Reviews-E690021.htm)

[Check company site 📌](http://byjus.com/?utm_source=topstartups.io)

[View Jobs](https://byjus.com/car",$800M,,"Bangalore, India",,http://byjus.com/,,,,topstartups.io,
Mos,"Building banking for students to avoid debt, find scholarships and get personalized advice


FinTech EdTech

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


51-100 employeesFounded: 2017

**Funding:**

Sequoia$40M Series B in 2022$400M valuation

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/mosdotcom/)

[Check company site 📌](https://www.mos.com/?utm_source=topstartups.io)

[View Jobs](https://www.mos.com/join-us/?utm_source=topstartups.io)

[![Wonde",$40M,FinTech,"San Francisco Bay Area, California, USA",100,https://www.mos.com/,,,,topstartups.io,
Wonderschool,"Helping people start and find in-home infant and toddler education programs and preschools


EdTechKids

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


51-100 employeesFounded: 2016

**Funding:**

Andreessen Horowitz$25M Series B in 2022$99M valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/wonderschool)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Wonderschool-EI_IE1645756.11,23.htm)

[Check company site 📌](http://www.wondersch",$25M,,"San Francisco Bay Area, California, USA",100,http://www.wonderschool.com/,,,,topstartups.io,
WorkRamp,"WorkRamp is software that will transform how you train your employees.


EdTechTrainingEnterprise Software

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


101-200 employeesFounded: 2015

**Funding:**

Y Combinator$40M Series C in 2022

**Take action:**

[See who works here 🤝](https://linkedin.com/company/workramp)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-WorkRamp-EI_IE3070641.11,19.htm)

[Check company site 📌](http://www.workramp.com/?utm_source=topstartu",$40M,Enterprise Software,"San Francisco Bay Area, California, USA",200,http://www.workramp.com/,,,,topstartups.io,
Medley,"Medley is a membership for curious, growth-minded people who want a structured, social, and accessible way to invest in themselves


EdTechCommunitiesSaaS

**Quick facts:**

📍HQ: New York, New York, USA


11-50 employeesFounded: 2018

**Funding:**

Andreessen Horowitz$4M Seed in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/withmedley)

[Check company site 📌](http://www.withmedley.com/?utm_source=topstartups.io)

[View Jobs](https://boards.greenhouse.io/embed/job_bo",$4M,SaaS,"New York, New York, USA",50,http://www.withmedley.com/,,,,topstartups.io,
SplashLearn,"SplashLearn is an EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five.


EdTech

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


201-500 employeesFounded: 2011

**Funding:**

Accel$18M Series C in 2021

**Take action:**

[See who works here 🤝](https://linkedin.com/company/studypad)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-SplashLearn-EI_IE1281965.11,22.htm)

[Check company site 📌](http://www.sp",$18M,,"San Francisco Bay Area, California, USA",500,http://www.splashmath.com/,,,,topstartups.io,
Forage,"Forage creates free open-access training courses for candidates to build their career skills and confidence.


EdTechCareer Planning Training

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


201-500 employeesFounded: 2016

**Funding:**

Y Combinator$36M Series B in 2021

**Take action:**

[See who works here 🤝](https://www.linkedin.com/company/theforage/)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-InsideSherpa-EI_IE3237837.11,23.htm)

[Check company site 📌](",$36M,,"San Francisco Bay Area, California, USA",500,http://www.insidesherpa.com/,,,,topstartups.io,
Outschool,"Outschool is the community marketplace of live online classes for K-12, offered by independent teachers


EdTechMarketplaceK-12

**Quick facts:**

📍HQ: San Francisco Bay Area, California, USA


1001-5000 employeesFounded: 2015

**Funding:**

Y Combinator$320M Series C in 2021$3.0B valuation

**Take action:**

[See who works here 🤝](https://linkedin.com/company/outschool)

[Read reviews ⭐](https://www.glassdoor.com/Overview/Working-at-Outschool-EI_IE1311528.11,20.htm)

[Check company site 📌](http",$320M,,"San Francisco Bay Area, California, USA",5000,http://outschool.com/,,,,topstartups.io,
